ParticipantPublicID,PrePost,Spreadsheet_Display,TrialNumber,ReactionTime,smallTreasure,SurePayoff,conditionStr
FF_1_a,1,coordination,1,4356.69999999888,12,1,mus
FF_1_a,1,coordination,2,3682.90000000002,1,0,mus
FF_1_a,1,coordination,3,1972.80000000037,10,1,mus
FF_1_a,1,coordination,4,2976.19999999925,9,1,mus
FF_1_a,1,coordination,5,1737.59999999887,7,0,mus
FF_1_a,1,coordination,6,3669.59999999887,7,1,mus
FF_1_a,1,coordination,7,2679.10000000001,15,1,mus
FF_1_a,1,coordination,8,3704.99999999924,9,0,mus
FF_1_a,1,coordination,9,5387.09999999925,11,0,mus
FF_1_a,1,coordination,10,2122.19999999925,10,1,mus
FF_1_a,1,coordination,11,2793.59999999963,5,1,mus
FF_1_a,1,coordination,12,1066.20000000001,3,0,mus
FF_1_a,1,coordination,13,2966.39999999999,6,0,mus
FF_1_a,1,coordination,14,1349.59999999998,8,1,mus
FF_1_a,1,coordination,15,2443.60000000001,5,1,mus
FF_1_a,1,coordination,16,3631.99999999962,8,0,mus
FF_1_a,1,coordination,17,2323.49999999924,13,1,mus
FF_1_a,1,coordination,18,2731.70000000001,2,0,mus
FF_1_a,1,coordination,19,2241.59999999925,4,1,mus
FF_1_a,1,coordination,20,2399.09999999963,14,1,mus
FF_1_a,1,coordination,21,1393.79999999926,6,0,mus
FF_1_a,1,lottery,1,3172.89999999962,2,0,mus
FF_1_a,1,lottery,2,2251.29999999888,8,0,mus
FF_1_a,1,lottery,3,6309.79999999999,4,0,mus
FF_1_a,1,lottery,4,1445.09999999887,9,1,mus
FF_1_a,1,lottery,5,2369.00000000035,1,0,mus
FF_1_a,1,lottery,6,7143.70000000001,5,0,mus
FF_1_a,1,lottery,7,2398.59999999928,7,0,mus
FF_1_a,1,lottery,8,693.699999998906,15,0,mus
FF_1_a,1,lottery,9,668.299999999988,10,1,mus
FF_1_a,1,lottery,10,1061.59999999887,10,0,mus
FF_1_a,1,lottery,11,729.199999999255,13,0,mus
FF_1_a,1,lottery,12,741.400000000373,9,0,mus
FF_1_a,1,lottery,13,683.199999999953,11,0,mus
FF_1_a,1,lottery,14,541.799999999988,6,0,mus
FF_1_a,1,lottery,15,420.299999999232,14,1,mus
FF_1_a,1,lottery,16,1226.90000000037,8,0,mus
FF_1_a,1,lottery,17,686.299999999232,5,0,mus
FF_1_a,1,lottery,18,1254.3000000004,3,0,mus
FF_1_a,1,lottery,19,1373.6999999996,12,0,mus
FF_1_a,1,lottery,20,1990.89999999962,7,1,mus
FF_1_a,1,lottery,21,2115.50000000035,6,0,mus
FF_1_a,2,coordination,1,2667.39999999999,8,0,mus
FF_1_a,2,coordination,2,3008.00000000038,9,0,mus
FF_1_a,2,coordination,3,3171.20000000038,5,0,mus
FF_1_a,2,coordination,4,3039.60000000038,2,0,mus
FF_1_a,2,coordination,5,1466.29999999964,7,0,mus
FF_1_a,2,coordination,6,2223.29999999888,7,0,mus
FF_1_a,2,coordination,7,2346.60000000038,13,1,mus
FF_1_a,2,coordination,8,1721.79999999964,6,0,mus
FF_1_a,2,coordination,9,1402.69999999888,4,0,mus
FF_1_a,2,coordination,10,2077.5,8,1,mus
FF_1_a,2,coordination,11,1876.79999999999,3,0,mus
FF_1_a,2,coordination,12,1225.89999999999,9,0,mus
FF_1_a,2,coordination,13,2540.90000000037,15,1,mus
FF_1_a,2,coordination,14,1580.10000000038,12,1,mus
FF_1_a,2,coordination,15,1590.89999999889,5,0,mus
FF_1_a,2,coordination,16,2502.40000000037,11,1,mus
FF_1_a,2,coordination,17,1852.99999999962,10,0,mus
FF_1_a,2,coordination,18,2024.70000000001,14,1,mus
FF_1_a,2,coordination,19,3261.09999999887,6,0,mus
FF_1_a,2,coordination,20,1076.59999999887,10,1,mus
FF_1_a,2,coordination,21,2064.39999999999,1,0,mus
FF_1_a,2,lottery,1,6305.30000000037,3,0,mus
FF_1_a,2,lottery,2,1829.89999999999,10,1,mus
FF_1_a,2,lottery,3,1386.59999999963,9,1,mus
FF_1_a,2,lottery,4,1762.59999999925,6,0,mus
FF_1_a,2,lottery,5,973.200000000361,5,0,mus
FF_1_a,2,lottery,6,737.500000000378,8,0,mus
FF_1_a,2,lottery,7,1177.29999999888,14,1,mus
FF_1_a,2,lottery,8,1639.19999999925,4,0,mus
FF_1_a,2,lottery,9,1516.49999999997,8,1,mus
FF_1_a,2,lottery,10,1251.20000000036,7,0,mus
FF_1_a,2,lottery,11,1085.00000000038,7,0,mus
FF_1_a,2,lottery,12,1872.59999999925,5,0,mus
FF_1_a,2,lottery,13,1366.59999999998,11,1,mus
FF_1_a,2,lottery,14,1325.20000000036,10,1,mus
FF_1_a,2,lottery,15,1328.09999999887,9,1,mus
FF_1_a,2,lottery,16,1206.90000000037,1,0,mus
FF_1_a,2,lottery,17,1594.89999999962,15,1,mus
FF_1_a,2,lottery,18,2160.29999999888,12,1,mus
FF_1_a,2,lottery,19,2510.79999999999,6,0,mus
FF_1_a,2,lottery,20,1518.39999999927,13,1,mus
FF_1_a,2,lottery,21,1205.8000000004,2,0,mus
FF_1_b,1,coordination,1,2403.79999999999,9,0,mus
FF_1_b,1,coordination,2,5143.82000000001,14,0,mus
FF_1_b,1,coordination,3,5533.32000000001,1,0,mus
FF_1_b,1,coordination,4,3530.88,6,0,mus
FF_1_b,1,coordination,5,2955.23999999999,11,0,mus
FF_1_b,1,coordination,6,2666.28,5,0,mus
FF_1_b,1,coordination,7,2243.28,10,0,mus
FF_1_b,1,coordination,8,2116.64000000001,8,0,mus
FF_1_b,1,coordination,9,1821.95999999999,13,0,mus
FF_1_b,1,coordination,10,2530.34,7,0,mus
FF_1_b,1,coordination,11,3769.67999999999,2,0,mus
FF_1_b,1,coordination,12,3478.04000000001,7,0,mus
FF_1_b,1,coordination,13,2623.39999999999,6,0,mus
FF_1_b,1,coordination,14,2273.73999999999,3,0,mus
FF_1_b,1,coordination,15,2556.09999999998,10,0,mus
FF_1_b,1,coordination,16,3218.14000000001,9,0,mus
FF_1_b,1,coordination,17,1819.46000000002,12,0,mus
FF_1_b,1,coordination,18,22799.82,15,0,mus
FF_1_b,1,coordination,19,1756.62,8,0,mus
FF_1_b,1,coordination,20,2753.62,5,0,mus
FF_1_b,1,coordination,21,1567.62,4,0,mus
FF_1_b,1,lottery,1,3071.85999999999,13,1,mus
FF_1_b,1,lottery,2,1728.23999999999,14,1,mus
FF_1_b,1,lottery,3,2183.31999999995,3,0,mus
FF_1_b,1,lottery,4,1764.94,12,1,mus
FF_1_b,1,lottery,5,8850.94,5,0,mus
FF_1_b,1,lottery,6,1540.97999999998,2,0,mus
FF_1_b,1,lottery,7,2411.64000000001,6,0,mus
FF_1_b,1,lottery,8,1183.29999999999,4,0,mus
FF_1_b,1,lottery,9,1868.02000000002,9,1,mus
FF_1_b,1,lottery,10,1014.35999999999,11,1,mus
FF_1_b,1,lottery,11,1041.41999999998,9,1,mus
FF_1_b,1,lottery,12,1269.08000000002,5,0,mus
FF_1_b,1,lottery,13,2109.41999999998,7,1,mus
FF_1_b,1,lottery,14,1709.41999999998,8,1,mus
FF_1_b,1,lottery,15,1085.44,8,1,mus
FF_1_b,1,lottery,16,958.099999999977,1,0,mus
FF_1_b,1,lottery,17,1036.09999999998,10,1,mus
FF_1_b,1,lottery,18,1447.82000000001,7,1,mus
FF_1_b,1,lottery,19,1129.47999999998,15,1,mus
FF_1_b,1,lottery,20,1560.82000000001,10,1,mus
FF_1_b,1,lottery,21,1623.82000000001,6,0,mus
