ParticipantID,conditionStr,PrePost,Angle,Type
FF_10_a,isot,1,30.4655449194599,2
FF_10_a,isot,2,30.4655449194599,2
FF_10_b,isot,1,18.1572654743793,3
FF_10_b,isot,2,14.7435628364707,3
FF_11_a,silent,1,4.18491612511842,3
FF_11_a,silent,2,32.2756443145776,2
FF_11_b,silent,1,21.9384804677065,3
FF_11_b,silent,2,22.2936291596941,3
FF_12_a,isot,1,4.89909245378776,3
FF_12_a,isot,2,22.7509763427876,2
FF_12_b,isot,1,24.5997906051575,2
FF_12_b,isot,2,25.584534544037,2
FF_13_a,mus,1,28.1598812846607,2
FF_13_a,mus,2,29.3890114663203,2
FF_13_b,mus,1,14.7435628364707,3
FF_13_b,mus,2,14.7435628364707,3
FF_14_a,silent,1,14.7435628364707,3
FF_14_a,silent,2,14.7435628364707,3
FF_14_b,silent,1,27.2553283749431,2
FF_14_b,silent,2,29.6700338156606,2
FF_15_a,mus,1,6.30544597726863,3
FF_15_a,mus,2,22.7509763427876,2
FF_15_b,mus,1,32.7684990787698,2
FF_15_b,mus,2,20.1817906999817,3
FF_16_a,silent,1,30.4655449194599,2
FF_16_a,silent,2,30.4655449194599,2
FF_16_b,silent,1,13.7490489834193,3
FF_16_b,silent,2,13.4731581127311,3
FF_17_a,isot,1,12.8042660652868,3
FF_17_a,isot,2,18.1572654743793,3
FF_17_b,isot,1,27.2161115573075,2
FF_17_b,isot,2,27.9971473612426,2
FF_18_a,isot,1,30.4655449194599,2
FF_18_a,isot,2,14.7435628364707,3
FF_18_b,isot,1,30.5679370638641,2
FF_18_b,isot,2,19.1231533159617,3
FF_1_a,mus,1,30.4655449194599,2
FF_1_a,mus,2,30.4655449194599,2
FF_1_b,mus,1,14.7435628364707,3
FF_1_b,mus,2,10.6902382764991,3
FF_2_a,silent,1,35.5376777919744,2
FF_2_a,silent,2,14.7435628364707,3
FF_2_b,silent,1,27.2161115573075,2
FF_2_b,silent,2,34.5677893534074,2
FF_3_a,mus,1,41.0548137709624,2
FF_3_a,mus,2,22.5531385269108,2
FF_3_b,mus,1,5.73649538687115,3
FF_3_b,mus,2,19.1231533159617,3
FF_4_a,silent,1,30.4655449194599,2
FF_4_a,silent,2,30.4655449194599,2
FF_4_b,silent,1,14.7435628364707,3
FF_4_b,silent,2,18.1572654743793,3
FF_5_a,mus,1,14.7435628364707,3
FF_5_a,mus,2,11.3698026502581,3
FF_5_b,mus,1,11.2611701202502,3
FF_5_b,mus,2,32.891015016771,2
FF_6_a,isot,1,-6.28249208816138,3
FF_6_a,isot,2,36.8107078120311,2
FF_6_b,isot,1,38.1025724422483,2
FF_6_b,isot,2,17.336761672182,3
FF_7_a,isot,1,30.4655449194599,2
FF_7_a,isot,2,30.4655449194599,2
FF_7_b,isot,1,14.7435628364707,3
FF_7_b,isot,2,14.7435628364707,3
FF_8_a,mus,1,14.7435628364707,3
FF_8_a,mus,2,10.2221686336361,3
FF_8_b,mus,1,14.8797217520032,3
FF_8_b,mus,2,31.360947947628,2
FF_9_a,silent,1,10.0079798014413,3
FF_9_a,silent,2,13.7490489834193,3
FF_9_b,silent,1,18.7257878452726,3
FF_9_b,silent,2,18.6185885130418,3
FM_10_a,isot,1,30.4655449194599,2
FM_10_a,isot,2,31.1593045083444,2
FM_10_b,isot,1,12.652556500558,3
FM_10_b,isot,2,13.7490489834193,3
FM_11_a,silent,1,14.7435628364707,3
FM_11_a,silent,2,14.7435628364707,3
FM_11_b,silent,1,18.132864911074,3
FM_11_b,silent,2,20.8544580395783,3
FM_12_a,isot,1,13.7490489834193,3
FM_12_a,isot,2,21.736814497357,3
FM_12_b,isot,1,25.996377250589,2
FM_12_b,isot,2,25.996377250589,2
FM_13_a,mus,1,30.4655449194599,2
FM_13_a,mus,2,31.1593045083444,2
FM_13_b,mus,1,12.652556500558,3
FM_13_b,mus,2,13.7490489834193,3
FM_14_a,silent,1,1.46880071438582,3
FM_14_a,silent,2,14.7435628364707,3
FM_14_b,silent,1,20.5193171608237,3
FM_14_b,silent,2,18.9966541554886,3
FM_15_a,silent,1,14.7435628364707,3
FM_15_a,silent,2,13.7490489834193,3
FM_15_b,silent,1,35.1341930569156,2
FM_15_b,silent,2,24.2277453179542,2
FM_17_a,mus,1,30.4655449194599,2
FM_17_a,mus,2,28.1598812846607,2
FM_17_b,mus,1,13.7490489834193,3
FM_17_b,mus,2,14.7435628364707,3
FM_18_a,isot,1,22.7509763427876,2
FM_18_a,isot,2,32.2756443145776,2
FM_18_b,isot,1,8.74616226255521,3
FM_18_b,isot,2,27.2161115573075,2
FM_19_a,isot,1,22.7509763427876,2
FM_19_a,isot,2,14.7435628364707,3
FM_19_b,isot,1,30.1086591358068,2
FM_19_b,isot,2,9.69560992338242,3
FM_1_a,isot,1,30.4655449194599,2
FM_1_a,isot,2,31.7594800848128,2
FM_1_b,isot,1,14.7435628364707,3
FM_1_b,isot,2,14.7435628364707,3
FM_2_a,mus,1,22.7509763427876,2
FM_2_a,mus,2,1.70981404414153,3
FM_2_b,mus,1,12.5617742069596,3
FM_2_b,mus,2,28.5112462941088,2
FM_3_a,mus,1,41.5800169051389,2
FM_3_a,mus,2,14.7435628364707,3
FM_3_b,mus,1,34.1144729453413,2
FM_3_b,mus,2,22.4993946051488,2
FM_4_a,mus,1,28.1598812846607,2
FM_4_a,mus,2,30.4655449194599,2
FM_4_b,mus,1,14.7435628364707,3
FM_4_b,mus,2,14.7435628364707,3
FM_5_a,silent,1,14.7435628364707,3
FM_5_a,silent,2,14.7435628364707,3
FM_5_b,silent,1,22.2991402239307,3
FM_5_b,silent,2,26.0418165948938,2
FM_6_a,isot,1,10.3888578154696,3
FM_6_a,isot,2,9.46232220802562,3
FM_6_b,isot,1,18.6836988353504,3
FM_6_b,isot,2,20.1817906999817,3
FM_7_a,silent,1,26.0232632641656,2
FM_7_a,silent,2,30.4655449194599,2
FM_7_b,silent,1,19.6920212387365,3
FM_7_b,silent,2,14.7435628364707,3
FM_8_a,mus,1,18.5342481680655,3
FM_8_a,mus,2,14.7435628364707,3
FM_8_b,mus,1,12.68752137387,3
FM_8_b,mus,2,18.9621957145893,3
FM_9_a,silent,1,17.7626693563679,3
FM_9_a,silent,2,16.6120803364596,3
FM_9_b,silent,1,21.0185952851011,3
FM_9_b,silent,2,25.2481387712847,2
MM_10_a,mus,1,30.4655449194599,2
