TaskName,ParticipantPublicID,EventIndex,Response,Question,prePost,cond
iOS-Savage questions,FF_10_a,6,2,closeness,1,isot
iOS-Savage questions,FF_10_a,15,74,connection,1,isot
iOS-Savage questions,FF_10_a,9,64,like,1,isot
iOS-Savage questions,FF_10_a,12,41,similarity,1,isot
iOS-Savage questions,FF_10_a,5,26,trust,1,isot
iOS-Savage questions,FF_10_b,6,3,closeness,1,isot
iOS-Savage questions,FF_10_b,9,56,connection,1,isot
iOS-Savage questions,FF_10_b,15,55,like,1,isot
iOS-Savage questions,FF_10_b,5,53,similarity,1,isot
iOS-Savage questions,FF_10_b,12,51,trust,1,isot
iOS-Savage questions,FF_11_a,13,1,closeness,1,silent
iOS-Savage questions,FF_11_a,8,31,connection,1,silent
iOS-Savage questions,FF_11_a,12,46,like,1,silent
iOS-Savage questions,FF_11_a,5,14,similarity,1,silent
iOS-Savage questions,FF_11_a,16,0,trust,1,silent
iOS-Savage questions,FF_11_b,13,4,closeness,1,silent
iOS-Savage questions,FF_11_b,5,61,connection,1,silent
iOS-Savage questions,FF_11_b,16,68,like,1,silent
iOS-Savage questions,FF_11_b,9,59,similarity,1,silent
iOS-Savage questions,FF_11_b,12,49,trust,1,silent
iOS-Savage questions,FF_12_a,6,2,closeness,1,isot
iOS-Savage questions,FF_12_a,9,34,connection,1,isot
iOS-Savage questions,FF_12_a,13,51,like,1,isot
iOS-Savage questions,FF_12_a,5,26,similarity,1,isot
iOS-Savage questions,FF_12_a,16,6,trust,1,isot
iOS-Savage questions,FF_12_b,6,3,closeness,1,isot
iOS-Savage questions,FF_12_b,12,59,connection,1,isot
iOS-Savage questions,FF_12_b,15,77,like,1,isot
iOS-Savage questions,FF_12_b,9,58,similarity,1,isot
iOS-Savage questions,FF_12_b,5,94,trust,1,isot
iOS-Savage questions,FF_13_a,6,2,closeness,1,mus
iOS-Savage questions,FF_13_a,9,55,connection,1,mus
iOS-Savage questions,FF_13_a,12,73,like,1,mus
iOS-Savage questions,FF_13_a,5,54,similarity,1,mus
iOS-Savage questions,FF_13_a,16,46,trust,1,mus
iOS-Savage questions,FF_13_b,3,1,closeness,1,mus
iOS-Savage questions,FF_13_b,12,59,connection,1,mus
iOS-Savage questions,FF_13_b,9,57,like,1,mus
iOS-Savage questions,FF_13_b,6,57,similarity,1,mus
iOS-Savage questions,FF_13_b,16,50,trust,1,mus
iOS-Savage questions,FF_14_a,6,4,closeness,1,silent
iOS-Savage questions,FF_14_a,12,62,connection,1,silent
iOS-Savage questions,FF_14_a,15,89,like,1,silent
iOS-Savage questions,FF_14_a,9,67,similarity,1,silent
iOS-Savage questions,FF_14_a,5,83,trust,1,silent
iOS-Savage questions,FF_14_b,3,2,closeness,1,silent
